수집일,템플릿ID,이름,썸네일날짜,카테고리,검색키워드,순위,페이지수,프리미엄,폭,높이,노출횟수,썸네일URL,노출후보플래그,신호라벨,신뢰도,판정규칙버전
2026-08-03,krjd9yy8u581602s,파랑 깔끔 입찰 제안서 안내,2026-07-30,/ko/templates,,,20,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/30/21/30/krjd9yy8u581602s/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kshe56v44tqw3hj1,파란색 깔끔 여름 휴가 안내,2026-07-30,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/30/09/30/kshe56v44tqw3hj1/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k3h2l407ahq810si,파랑 깔끔 개발자 커리어 모집 안내,2026-07-29,/ko/templates,,,14,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/29/17/30/k3h2l407ahq810si/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kmfkvr1qdg6zqxl6,파란색 사이버 프로그래밍 교육 안내,2026-07-28,/ko/templates,,,15,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/28/17/30/kmfkvr1qdg6zqxl6/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ky8bzq3x92uad5ra,파랑 깔끔 채용설명회 안내,2026-07-28,/ko/templates,,,20,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/28/17/30/ky8bzq3x92uad5ra/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kh4qsxb52v3ig2yg,보라 심플 AI 데이터 교육 안내,2026-07-27,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/27/16/30/kh4qsxb52v3ig2yg/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kvx8xje4zuiycdpq,하늘색 깔끔 공공기관 AI보안 수칙 안내,2026-07-26,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/26/19/20/kvx8xje4zuiycdpq/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kqhp3h3cxox5ivn5,노랑 심플 학교 일정 안내,2026-07-24,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/17/30/kqhp3h3cxox5ivn5/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kjcbvk81z2ukq10j,파랑 깔끔 여름 오피스 라이프 안내,2026-07-24,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/16/30/kjcbvk81z2ukq10j/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k1538isqrtmxepl2,보라 깔끔 기업협업 프로젝트 홍보,2026-07-24,/ko/templates,,,,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/16/30/k1538isqrtmxepl2/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k00geewx3kff6g4n,파랑 깔끔 AI 실무교육 제안서,2026-07-24,/ko/templates,,,13,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/11/30/k00geewx3kff6g4n/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kf7uqrvdgs6rfdvk,파랑 모던 인공지능 교육 광고,2026-07-24,/ko/templates,,,4,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/09/30/kf7uqrvdgs6rfdvk/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kbne4oa8n5qqu0u8,보라 모던 AI자격증 홍보,2026-07-23,/ko/templates,,,,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/23/14/30/kbne4oa8n5qqu0u8/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kwdbo68z0job4czg,오렌지 모던 데이터분석 부트캠프 홍보,2026-07-23,/ko/templates,,,10,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/23/14/30/kwdbo68z0job4czg/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k4ezm19w39h14jt2,초록 심플 학교 일정 안내,2026-07-23,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/23/14/30/k4ezm19w39h14jt2/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k55xnzg69xqvxjkq,파랑 심플 포토 리뷰 이벤트 홍보,2026-07-23,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_thumb/2026/07/23/12/30/k55xnzg69xqvxjkq/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ko32c6f8963gnw5u,초록 심플 기후위기 이야기 프로젝트 안내,2026-07-22,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/22/17/30/ko32c6f8963gnw5u/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k5b773oc8h7juf2c,흰색 모던 AI 프로그래밍 행사,2026-07-22,/ko/templates,,,15,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/22/12/30/k5b773oc8h7juf2c/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kgkh1h9qtk39s9a4,검정 모던 개발자 행사 안내,2026-07-22,/ko/templates,,,,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/22/10/30/kgkh1h9qtk39s9a4/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,klo51gnli2ehk5jx,베이지 깔끔 건강검진 안내,2026-07-22,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/22/10/30/klo51gnli2ehk5jx/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ktzwblfxaue5a2ce,베이지 깔끔 바리스타 교육 모집,2026-07-21,/ko/templates,,,8,O,313,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/21/18/30/ktzwblfxaue5a2ce/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kd2nt8mruynbrvcj,파랑 깔끔 학교 일정 안내,2026-07-21,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/21/18/30/kd2nt8mruynbrvcj/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k7krb7pf3ujv795h,아이보리의 심플한 한가위 테마,2026-07-21,web_flyer_single,추석,49,,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/21/18/30/k7krb7pf3ujv795h/json_thumb.webp,X,노출관측,중간,1.0
2026-08-03,kam97qacgcz5xwwg,보라 모던 인공지능 사업계획 발표회,2026-07-21,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/21/16/30/kam97qacgcz5xwwg/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kkpimynz9unostj6,보라 미니멀 경력자 포트폴리오 소개,2026-07-21,/ko/templates,,,16,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/21/14/30/kkpimynz9unostj6/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ksn37olrhpk62hjr,베이지 깔끔 의료 종사자 직무 역량 교육,2026-07-21,/ko/templates,,,16,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/21/10/30/ksn37olrhpk62hjr/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k7z4wcatoj1rjfe1,노랑 심플 월간 소식지 안내,2026-07-16,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/16/14/30/k7z4wcatoj1rjfe1/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kq0j6bovxcsdv2c8,주황 심플 학사 일정 안내,2026-07-15,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/15/14/30/kq0j6bovxcsdv2c8/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kldohrywgnc0kwdx,파랑 심플 추석 교육자료 안내,2026-07-15,presentation,추석,50,10,O,640,360,1,https://file.miricanvas.com/template_thumb/2026/07/15/11/30/kldohrywgnc0kwdx/thumb.webp,X,노출관측,중간,1.0
2026-08-03,k1v61g98tj6le8ju,추석 감사 인사,2026-07-14,poster_ver_print,추석,56,,O,283,400,1,https://file.miricanvas.com/template_thumb/2026/07/14/15/30/k1v61g98tj6le8ju/thumb.webp,X,노출관측,중간,1.0
2026-08-03,kcf03nybgthbsgmf,아이보리 깔끔 결혼식 안내,2026-07-13,/ko/templates,,,2,O,400,284,1,https://file.miricanvas.com/template_json_thumb/2026/07/13/20/30/kcf03nybgthbsgmf/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,klf3gr0smdo11ns2,흰색 심플 발표 자료,2026-07-13,/ko/templates,,,10,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/13/18/30/klf3gr0smdo11ns2/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kuwg5aj8nvlb2hoc,남색 깔끔 운영 계획 보고서 기획서,2026-07-10,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/10/15/30/kuwg5aj8nvlb2hoc/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k2bmyxc0i0sew2ys,초록 미니멀 AI 인사이트 홍보,2026-07-10,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/10/11/30/k2bmyxc0i0sew2ys/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k7uaw4hqqrbq3s04,파란색의 모던한 브랜드 콘텐츠 제작 제안서,2026-07-08,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/08/10/30/k7uaw4hqqrbq3s04/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kua9izgha8jdwij8,파랑 깔끔 추석 교육자료 안내,2026-07-07,card_news,추석,19,10,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/07/07/19/30/kua9izgha8jdwij8/thumb.webp,X,노출관측,중간,1.0
2026-08-03,kkkgtcgrjqxutb66,빨강 모던 브랜드 콘텐츠 제안서 홍보,2026-07-03,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/03/15/30/kkkgtcgrjqxutb66/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kkqqeigqrmrihscb,주황 전통 한가위 안내,2026-07-03,placard_hor,추석,57,,O,1280,230,1,https://file.miricanvas.com/template_json_thumb/2026/07/03/11/30/kkqqeigqrmrihscb/json_thumb.webp,X,노출관측,중간,1.0
2026-08-03,k65e950lyhjgecm3,회색 미니멀 식품 플랫폼 제안서,2026-06-29,/ko/templates,,,20,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/29/17/30/k65e950lyhjgecm3/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kvw8q7t9cwiec69m,파랑 심플 브랜드 콘텐츠 제안서 기획서,2026-06-29,/ko/templates,,,18,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/29/17/30/kvw8q7t9cwiec69m/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kmet2r2jlwa23ygx,파란색 깔끔 여름 상품 제안 홍보,2026-06-29,/ko/templates,,,15,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/29/16/30/kmet2r2jlwa23ygx/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k6uy2umal516z28c,주황 심플 한가위 인사 안내,2026-06-29,instagram_feed,추석,39,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/29/13/30/k6uy2umal516z28c/json_thumb.webp,X,노출관측,중간,1.0
2026-08-03,k38t3rw02de04tti,파란색 깔끔 스티커 홍보,2026-06-29,/ko/templates,,,10,O,313,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/29/09/30/k38t3rw02de04tti/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kf8uuecqm792tdgb,파랑 모던 타운홀 행사,2026-06-29,/ko/templates,,,24,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/29/09/30/kf8uuecqm792tdgb/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kw6br4bb74x7fyyq,초록 미니멀 타운홀 미팅 안내,2026-06-26,/ko/templates,,,24,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/26/13/30/kw6br4bb74x7fyyq/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kiibb47zdo40w9x5,회색 모던 기업실적 발표 안내,2026-06-26,/ko/templates,,,24,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/26/09/30/kiibb47zdo40w9x5/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,km9dkwgwv7g2rslp,남색의 모던한 기업 타운홀 행사 안내서,2026-06-24,/ko/templates,,,25,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/24/17/30/km9dkwgwv7g2rslp/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kx21l1k5euuoiuge,하늘색 모던 여름용 우산 홍보,2026-06-24,/ko/templates,,,,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/24/10/30/kx21l1k5euuoiuge/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kc7jj7fu1rfxi9zr,핑크 심플 SNS 썸네일,2026-06-23,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/23/11/30/kc7jj7fu1rfxi9zr/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kpqq214175ostl3e,파랑 깔끔 자연 안내,2026-06-23,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/23/11/30/kpqq214175ostl3e/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kreh1owmeecr57tp,노랑 아기자기한 한가위 안내,2026-06-23,ricecake_memo_paper_square,추석,26,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/23/10/30/kreh1owmeecr57tp/thumb.webp,X,노출관측,중간,1.0
2026-08-03,kyoeaguae91jk3vu,하늘색 깔끔 한가위 축제 안내,2026-06-22,post_card_102_152,추석,58,,O,272,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/22/20/30/kyoeaguae91jk3vu/json_thumb.webp,X,노출관측,중간,1.0
2026-08-03,kdck5aaze82hj6e1,민트 미니멀 휴대용 선풍기 광고,2026-06-22,/ko/templates,,,10,O,313,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/22/17/30/kdck5aaze82hj6e1/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ko8coeuhwyih894g,보라색과 회색의 심플한 프로모션 기획서,2026-06-22,/ko/templates,,,10,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/22/09/30/ko8coeuhwyih894g/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kfk24if0wiv962w4,파랑 심플 여름 프로모션 안내,2026-06-19,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/19/15/30/kfk24if0wiv962w4/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k9tdtrtqio5vteos,하늘색과 연두색의 심플한 여름 시즌 제품 소개 광고,2026-06-19,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/19/14/30/k9tdtrtqio5vteos/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kyi0zrcup6tq7khv,하늘색 깔끔 여름 양산 홍보,2026-06-19,/ko/templates,,,,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/19/11/30/kyi0zrcup6tq7khv/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,krqdyg37rlwl06j5,흑백 모던 키링 컬렉션 홍보,2026-06-18,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/18/17/50/krqdyg37rlwl06j5/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k2d0h9yl418yy7le,파랑 심플 내돈내산 후기 홍보,2026-06-17,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/17/12/30/k2d0h9yl418yy7le/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k8l4w08p7juuacrp,노랑 깔끔 장마철 안전 수칙 안내,2026-06-16,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/16/18/30/k8l4w08p7juuacrp/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kmwfi5k3zfuh1ghn,파랑 모던 기업행사 안내,2026-06-12,/ko/templates,,,24,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/12/15/30/kmwfi5k3zfuh1ghn/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k7vhqrboak2rr5kk,파란색 깔끔 경량 우산 홍보,2026-06-12,/ko/templates,,,10,O,313,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/12/08/30/k7vhqrboak2rr5kk/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kw14z6q0do9k6kjl,파랑 심플 휴대용 선풍기 광고,2026-06-11,/ko/templates,,,10,O,313,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/11/16/30/kw14z6q0do9k6kjl/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kz1elb696su6ic9k,보라 심플 SNS 마케팅 홍보,2026-06-11,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/11/12/30/kz1elb696su6ic9k/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kxtd97s1admpsfs5,초록 심플 자연 SNS 제목 썸네일,2026-06-11,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/11/12/30/kxtd97s1admpsfs5/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kvfoyewppkpkjh8x,파랑 아기자기한 미술 수업 모집,2026-06-11,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/11/11/30/kvfoyewppkpkjh8x/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ks14pdaz1qgo79zl,하늘색 깔끔 여름 필수품 홍보,2026-06-09,/ko/templates,,,,O,320,400,1,https://file.miricanvas.com/template_json_thumb/2026/06/09/13/30/ks14pdaz1qgo79zl/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kvvr1k9ora92ks9c,하늘색 깔끔 비오는날 할인 행사,2026-06-08,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/08/15/30/kvvr1k9ora92ks9c/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kczem5yskjbmi9is,파랑 미니멀 여름방학 집중특강 안내,2026-06-08,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/08/15/30/kczem5yskjbmi9is/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kezpwf7xg1znhjza,파랑 깔끔 브랜드 설문조사 보고서 안내,2026-06-04,/ko/templates,,,18,O,,,1,https://file.miricanvas.com/template_thumb/2026/06/04/19/30/kezpwf7xg1znhjza/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k8qq77xnubmfdvbu,주황 심플 플리마켓 행사,2026-06-04,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/04/12/30/k8qq77xnubmfdvbu/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,khhnlybgedij5k02,파랑 아기자기한 여름방학 안내 행사,2026-06-03,/ko/templates,,,15,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/06/03/11/30/khhnlybgedij5k02/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k9qe7lepy3yc5y1u,연두 모던 여름방학 특강 홍보,2026-06-02,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/02/18/30/k9qe7lepy3yc5y1u/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,km58h9zmjy8t9jj9,주황 심플 보험 광고,2026-06-02,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/06/02/18/30/km58h9zmjy8t9jj9/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kathlie6oj77dfmf,빨강 심플 타임특가 프로모션,2026-06-02,/ko/templates,,,,O,,,1,https://file.miricanvas.com/template_thumb/2026/06/02/15/30/kathlie6oj77dfmf/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k05sme5rm0ikg7ne,파랑 깔끔 결산 보고서 기획,2026-06-02,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/02/13/20/k05sme5rm0ikg7ne/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kle4j2ljx0n5zdms,연두 미니멀 전략기획 템플릿 홍보,2026-06-01,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/06/01/11/30/kle4j2ljx0n5zdms/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k8z9oh4zs7r8y2qa,연두 심플 여름 시즌 프로모션 홍보,2026-05-29,/ko/templates,,,19,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/29/16/50/k8z9oh4zs7r8y2qa/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kkb0by6bqreewspi,남색 깔끔 상반기 영업 결산 보고서,2026-05-29,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/29/11/30/kkb0by6bqreewspi/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kuy6svl6abe05ra3,파랑 심플 조명 기획전 홍보,2026-05-29,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/05/29/11/30/kuy6svl6abe05ra3/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,khn4xdcv4ho0yw5z,보라 모던 경영전략 발표자료,2026-05-29,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/29/10/30/khn4xdcv4ho0yw5z/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kh42ral0rjnaf3bj,연보라 깔끔 입사자 온보딩 매뉴얼 안내,2026-05-28,/ko/templates,,,18,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/05/28/11/30/kh42ral0rjnaf3bj/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k6gcjhuuns2c2jza,하늘색 깔끔 여름 휴가 안내,2026-05-27,/ko/templates,,,,O,281,400,1,https://file.miricanvas.com/template_json_thumb/2026/05/27/17/30/k6gcjhuuns2c2jza/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k8gl8vds9iwnicyz,보라 미니멀 기업교육 안내,2026-05-27,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/27/13/30/k8gl8vds9iwnicyz/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k5txnd3n06bsu7n2,파랑 깔끔 휴가 안내,2026-05-27,/ko/templates,,,,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/05/27/10/30/k5txnd3n06bsu7n2/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kegfgbh0b7ru5hul,파랑 깔끔 광고소재 템플릿 홍보,2026-05-26,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/05/26/17/30/kegfgbh0b7ru5hul/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kv5heck5oxescf0x,파랑의 모던한 디지털 마켓팅 광고,2026-05-26,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/05/26/14/30/kv5heck5oxescf0x/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kflfndmbp2746m5g,초록 심플 발랄 감성 결혼식 초대 청첩장,2026-05-25,/ko/templates,,,2,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/05/25/17/30/kflfndmbp2746m5g/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kye5xw61icqbjqph,주황 심플 할인 행사 홍보,2026-05-25,/ko/templates,,,,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/05/25/14/30/kye5xw61icqbjqph/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k327upem5mhzso12,파랑 모던 AI인공지능 프로모션,2026-05-25,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/05/25/13/30/k327upem5mhzso12/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,knxvhgtq9ng8hrvp,파란색 모던 마케팅 광고 홍보,2026-05-22,/ko/templates,,,7,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/05/22/18/30/knxvhgtq9ng8hrvp/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k2x431u4ebno7c0x,파랑 모던 캠페인 성과 보고서 보고 안내,2026-05-22,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/22/15/50/k2x431u4ebno7c0x/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kffqvv2osmsun8gk,검정 모던 시장 보고서 분석,2026-05-22,/ko/templates,,,19,O,,,1,https://file.miricanvas.com/template_thumb/2026/05/22/13/00/kffqvv2osmsun8gk/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kouiziswyzcq11bu,주황 심플 사업 계획서 제안서,2026-05-22,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_thumb/2026/05/22/11/50/kouiziswyzcq11bu/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ka7uh2xs8b8dhf7o,보라 심플 쿠폰 혜택 마케팅 홍보,2026-05-22,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_thumb/2026/05/22/11/30/ka7uh2xs8b8dhf7o/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kip8n7bna3a5afbo,파랑 심플 영업용 비교 자료 기획서,2026-05-22,/ko/templates,,,31,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/22/09/40/kip8n7bna3a5afbo/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kwp76ssqvi7eo33z,초록 깔끔 기획서 안내,2026-05-21,/ko/templates,,,,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/05/21/20/20/kwp76ssqvi7eo33z/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kzi5v3om6b4ikvaz,파랑 심플 여름 프로모션 안내,2026-05-21,/ko/templates,,,19,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/21/18/30/kzi5v3om6b4ikvaz/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kmiu1iupgykcykwp,파랑 심플 상반기 영업 결산 보고서 안내,2026-05-21,/ko/templates,,,18,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/05/21/17/30/kmiu1iupgykcykwp/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k6fyzpags81nornd,흑백 깔끔 신입사원 온보딩 안내,2026-05-20,/ko/templates,,,19,O,,,1,https://file.miricanvas.com/template_thumb/2026/05/20/14/40/k6fyzpags81nornd/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kmatdrrbbhxjryfm,흑백 심플 발표 안내,2026-05-20,/ko/templates,,,17,O,400,225,1,https://file.miricanvas.com/template_thumb/2026/05/20/11/30/kmatdrrbbhxjryfm/thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ka44855nmt928hyn,파랑 깔끔 결산 보고서 안내,2026-05-19,/ko/templates,,,18,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/05/19/16/30/ka44855nmt928hyn/json_thumb.webp,X,목록관측,낮음,1.0
